Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
501,329,59,545,39,28,245,121,109,25,6,172,256,700,0,1
750,509,62,448,42,31,285,719,388,26,10,223,259,895,3,1
415,250,61,128,29,25,215,221,0,24,0,182,223,1231,0,1
955,579,87,23,8,8,110,156,0,22,0,106,113,231,1,1
967,564,72,153,32,26,225,143,202,26,14,146,226,507,1,1
737,450,64,229,34,29,245,141,300,30,17,183,212,707,3,1
1019,629,72,260,25,23,215,125,149,22,6,156,202,305,2,1
757,438,74,124,27,22,200,126,89,26,4,161,222,251,2,1
830,553,85,129,16,15,155,125,216,21,10,122,153,519,3,1
950,539,86,160,32,23,195,90,65,27,9,143,158,358,2,1
901,629,75,845,46,52,330,163,172,31,13,223,190,889,3,1
986,620,75,252,27,23,195,102,56,26,6,155,198,813,3,1
785,581,81,186,18,14,150,89,239,18,4,136,142,1250,4,1
878,575,70,552,41,31,255,166,63,25,5,223,233,844,2,1
653,456,72,195,32,27,270,112,239,25,10,165,194,859,5,1
722,426,81,149,22,20,195,127,46,25,0,149,197,111,0,1
742,513,67,280,31,26,230,142,213,20,11,154,170,553,6,1
782,535,73,346,21,19,175,135,135,19,7,148,163,551,4,1
738,557,76,155,33,27,245,206,152,25,10,200,227,828,5,1
962,674,67,310,34,32,270,211,135,25,2,179,257,552,1,1
751,475,64,206,57,45,475,181,253,25,8,182,278,907,4,1
902,591,77,76,5,3,25,398,28,19,3,160,179,477,3,1
596,337,75,119,43,36,275,143,0,30,7,166,225,471,4,1
586,312,69,145,31,29,220,111,59,29,4,163,202,667,1,1
840,487,82,109,20,17,150,117,38,20,7,119,185,429,1,1
925,543,73,272,24,25,190,129,72,30,0,150,192,455,2,1
932,519,79,88,29,29,210,126,84,31,3,165,197,333,3,1
722,398,86,88,23,21,170,93,53,26,7,146,167,402,0,1
531,327,73,279,29,21,175,69,0,28,6,152,203,585,2,1
578,361,76,210,34,26,220,148,168,31,3,159,245,589,2,1
891,544,80,83,26,20,185,109,70,25,4,143,182,551,3,1
709,398,87,149,25,24,205,92,183,26,11,131,177,452,2,1
574,435,68,252,42,34,285,207,168,22,0,139,221,907,4,1
633,449,84,99,21,20,195,206,410,18,8,145,197,791,2,1
884,497,73,319,35,35,140,35,259,26,13,165,255,929,4,1
551,364,68,188,44,32,300,169,154,29,9,180,228,491,2,1
812,471,72,118,29,23,200,203,369,30,7,176,226,469,1,1
618,389,73,236,38,30,300,153,97,25,4,182,239,438,1,1
828,523,81,178,22,20,200,112,153,26,13,149,219,109,4,1
811,442,74,371,32,30,200,122,125,31,4,172,225,333,10,1
508,328,81,155,25,19,200,125,101,23,0,119,192,394,7,1
892,561,71,188,24,22,195,139,315,20,6,175,229,640,8,1
491,320,69,103,31,25,210,126,55,26,3,161,239,510,6,1
1062,674,67,243,44,35,265,156,143,24,6,206,285,943,3,1
700,419,80,187,30,28,195,127,219,25,0,182,192,215,4,1
763,453,76,188,20,17,155,112,87,20,0,122,161,158,1,1
1262,1027,73,111,8,7,130,113,282,10,5,155,256,484,4,1
522,323,75,113,27,21,150,99,0,19,10,137,184,537,4,1
743,454,84,115,21,16,180,105,90,21,0,147,181,512,0,1
746,474,73,263,38,33,220,153,122,24,0,155,275,577,0,1
1062,650,67,229,37,28,245,189,91,19,19,180,264,330,2,1
816,538,65,214,44,33,330,151,107,25,5,205,287,147,1,1
716,454,81,64,5,6,35,145,35,14,8,93,215,448,0,1
596,364,66,154,38,33,265,120,315,30,4,176,236,286,1,1
670,465,93,51,8,8,90,63,40,17,13,126,136,105,4,1
479,292,76,264,28,29,215,134,139,27,12,156,208,272,2,1
608,391,76,137,26,21,180,69,0,27,10,117,247,478,0,1
579,362,72,294,33,27,220,149,0,24,13,175,258,502,1,1
647,448,90,53,9,7,95,92,0,15,9,81,137,62,1,1
612,481,93,77,8,9,105,106,0,21,0,114,122,213,5,1
714,496,85,33,9,8,90,175,38,20,13,123,89,252,2,1
1062,758,88,15,9,6,85,67,0,12,8,82,90,132,0,1
871,645,94,24,6,4,85,55,26,8,0,73,83,80,0,1
734,517,79,49,7,7,80,76,34,13,0,76,109,109,1,1
824,579,89,84,7,5,55,54,28,11,4,86,119,97,0,1
754,482,84,59,6,6,85,108,39,22,0,91,99,305,2,1
640,392,84,102,22,22,180,106,106,26,8,126,183,63,1,1
513,331,82,77,19,20,195,116,61,25,0,146,205,NA,2,1
658,411,71,68,24,22,170,142,193,28,4,152,193,198,2,1
612,405,78,173,31,25,210,161,201,29,13,177,242,376,1,1
1014,626,75,159,35,30,265,217,150,30,3,189,257,1610,1,1
599,394,76,210,34,24,225,123,52,23,0,164,238,401,1,1
685,396,80,169,22,16,185,124,207,23,0,136,207,307,3,1
638,397,84,93,13,11,135,107,46,21,8,137,177,220,0,1
784,511,72,372,41,34,305,170,366,24,4,147,320,1060,3,1
744,533,86,69,10,7,75,53,0,17,7,116,140,215,2,1
805,526,66,168,35,28,225,106,189,27,2,163,282,498,2,1
671,466,67,236,29,26,230,237,79,25,7,179,213,925,3,1
852,563,69,205,18,14,130,151,293,22,6,175,267,364,5,1
946,682,73,290,25,19,195,183,169,23,8,145,160,603,7,1
985,647,72,240,27,25,165,181,387,27,14,146,199,2054,3,1
814,515,75,154,20,18,175,118,119,30,8,148,157,344,1,1
838,515,75,379,32,30,225,160,256,32,0,191,228,430,3,1
1013,656,75,229,36,33,215,194,132,27,5,174,241,1473,3,1
931,548,71,211,25,21,185,113,71,27,3,155,219,247,1,1
967,610,80,45,13,8,95,99,34,19,3,118,145,176,2,1
897,544,71,343,33,28,205,96,685,30,0,177,215,547,4,1
617,423,77,215,36,35,220,138,335,26,8,141,247,601,2,1
859,565,74,348,37,27,190,95,470,21,3,142,222,1061,4,1
1113,785,75,193,32,23,200,128,243,22,6,141,187,558,5,1
271,191,88,15,19,14,120,119,61,13,0,131,187,185,5,1
486,424,88,20,4,3,35,26,0,7,3,55,60,268,4,1
599,373,57,252,40,35,250,176,266,35,5,186,260,635,1,1
477,351,86,245,37,24,225,136,0,26,4,137,189,378,7,1
570,394,78,438,33,25,215,132,181,24,5,183,197,439,3,1
1037,650,64,254,45,36,280,210,164,25,8,156,260,1004,1,1
816,573,74,297,30,26,200,142,302,21,6,144,181,1006,6,1
498,310,85,204,25,14,80,183,39,15,4,125,202,422,6,1
822,474,73,406,40,34,225,174,178,29,10,166,245,731,0,1
1267,886,89,115,27,21,200,156,21,23,3,149,241,395,0,1
1017,686,81,390,40,33,240,117,467,20,5,163,220,847,5,1
987,628,82,253,33,26,220,164,109,24,3,160,225,781,1,1
999,712,88,214,30,23,215,171,280,21,10,182,207,772,1,1
670,408,82,153,29,26,230,139,38,24,4,161,254,284,6,1
1030,777,76,85,13,9,105,103,56,14,6,110,110,321,5,1
953,749,83,26,5,4,75,174,60,14,4,115,42,263,1,1
820,650,78,161,14,12,140,165,120,13,4,149,74,354,6,1
606,473,80,110,12,11,120,72,91,15,6,105,91,347,3,1
800,632,78,79,16,10,115,110,99,17,0,106,98,338,5,1
798,526,71,357,27,21,190,146,121,22,4,178,200,238,3,1
625,481,79,60,15,13,145,91,35,23,4,113,131,128,8,1
1101,792,68,240,17,12,150,129,93,21,6,140,127,428,6,1
755,605,74,197,30,25,245,182,130,24,8,147,188,398,8,1
1038,795,71,195,27,22,175,168,113,19,8,140,191,733,9,1
669,470,68,158,22,19,165,230,239,24,10,168,230,988,7,1
888,621,56,474,49,43,340,219,296,32,6,235,318,1410,2,1
854,596,66,113,31,24,205,155,153,19,0,140,250,622,5,1
694,473,85,80,21,14,165,125,42,24,5,127,168,563,6,1
886,721,84,61,10,7,85,115,0,11,11,89,75,283,3,1
690,572,83,93,10,8,105,78,78,15,6,92,110,377,10,1
709,596,75,45,11,6,80,95,0,13,7,89,68,268,5,1
710,586,74,67,5,4,50,111,25,8,8,79,44,268,2,1
625,479,82,170,16,13,135,188,32,14,13,119,82,449,4,1
648,424,65,261,38,29,260,207,233,27,15,184,192,572,3,1
1066,744,73,119,29,18,205,145,92,24,4,132,177,432,2,1
748,526,77,355,29,22,185,163,196,21,3,174,224,589,8,1
875,610,70,276,26,28,215,96,114,24,4,160,207,469,1,1
1053,971,60,358,8,7,80,112,465,14,6,150,137,980,7,1
1446,1397,89,23,1,1,15,44,0,3,0,34,26,256,10,1
1162,936,85,287,22,19,170,125,479,15,5,136,206,396,10,1
2122,1940,79,98,7,6,85,132,52,7,5,77,95,722,10,1
2387,2100,90,137,9,5,110,95,53,9,2,95,146,176,10,1
868,536,86,290,32,27,220,185,322,25,11,143,196,2123,10,1
690,640,65,79,4,4,55,48,23,8,0,64,54,1292,10,1
807,726,67,159,19,14,170,159,97,14,0,121,102,2606,8,1
981,941,100,52,1,1,15,47,0,5,18,48,18,1736,7,1
635,530,66,9,8,4,75,48,33,11,17,88,88,536,4,1
663,622,80,170,8,6,75,181,111,8,8,89,45,3459,3,1
762,660,86,138,13,10,115,135,26,16,4,101,79,394,10,1
524,465,76,159,11,9,100,310,0,10,0,93,110,401,10,1
1184,847,68,636,30,28,220,139,415,26,8,177,169,871,3,1
805,667,84,432,13,8,115,57,80,12,0,130,123,4317,4,1
1131,953,77,154,22,19,175,128,201,15,3,135,152,522,6,1
759,714,80,29,3,2,10,20,0,5,6,46,53,3813,5,1
661,606,67,245,0,1,0,17,97,6,4,122,62,13197,2,1
735,697,89,127,5,4,75,17,117,5,6,89,50,14580,5,1
1175,1022,69,20,1,2,25,72,0,7,0,55,51,170,4,1
707,476,77,45,22,16,155,134,40,24,10,133,181,326,3,1
575,406,82,174,31,17,165,179,111,20,6,131,155,279,6,1
657,537,84,240,13,12,125,251,216,17,0,145,118,396,5,1
890,763,79,56,13,10,115,55,0,11,7,78,49,293,8,1
884,769,85,72,6,3,50,78,19,10,7,57,44,238,10,1
944,785,88,173,20,19,185,137,77,21,8,124,110,350,6,1
611,529,82,18,12,6,90,126,29,14,9,87,114,1557,4,1
1734,1650,71,46,7,5,85,242,32,11,3,70,51,248,6,1
817,662,90,150,11,10,110,94,23,17,10,101,83,503,2,1
1561,1456,87,17,5,3,55,42,0,9,6,50,59,218,1,1
950,836,87,43,5,4,55,75,20,14,2,78,50,411,3,1
927,813,96,90,4,3,35,59,21,9,6,55,32,486,2,1
886,753,94,26,3,3,30,42,64,9,0,63,22,260,4,1
538,473,91,52,12,11,125,148,37,17,0,84,75,354,1,1
1051,888,93,162,11,7,115,160,0,12,3,108,91,438,3,1
929,810,87,12,6,3,45,112,20,11,5,55,53,323,5,1
895,739,83,35,12,7,115,87,24,13,10,91,86,291,2,1
637,554,85,19,7,3,70,92,0,11,0,71,102,440,4,1
1022,899,70,24,7,4,55,53,0,12,8,76,81,529,4,1
690,540,80,57,16,13,130,79,30,16,11,85,119,856,2,1
1053,777,85,128,21,20,170,144,235,21,16,121,150,504,10,1
885,603,84,296,29,22,190,125,54,23,7,127,103,487,3,1
533,341,78,149,33,24,245,113,53,23,8,152,201,376,5,1
1034,757,77,198,17,13,160,136,22,22,9,162,141,513,3,1
572,469,83,40,9,6,65,89,0,9,6,83,90,490,4,1
792,533,87,288,26,24,175,139,117,18,8,137,207,392,5,1
675,427,89,109,36,19,150,106,332,15,9,115,243,415,3,1
722,518,73,516,32,29,245,145,372,25,6,206,190,805,3,1
805,607,78,169,25,19,215,179,26,26,6,138,127,224,4,1
755,640,86,48,15,13,155,142,0,14,3,75,63,239,9,1
814,678,92,76,5,4,50,24,0,12,3,59,31,320,4,1
1012,827,85,36,7,6,65,74,38,12,0,88,44,257,4,1
317,196,75,108,22,17,165,119,0,24,0,116,266,NA,10,1
697,496,73,208,31,25,210,154,186,21,6,181,250,575,1,1
744,503,59,306,37,34,260,167,356,30,10,205,270,1535,2,1
833,546,72,344,42,38,320,180,217,32,3,215,262,685,4,1
620,429,76,635,37,36,275,199,407,27,8,201,255,565,6,1
1367,1056,74,265,25,21,210,114,107,20,5,153,170,637,2,1
891,627,80,38,21,14,160,141,55,17,6,109,157,382,0,1
562,422,73,158,30,28,265,147,82,23,4,154,179,481,0,1
902,747,81,151,10,7,85,123,24,15,3,121,30,555,2,1
1671,1483,75,127,11,8,130,127,67,13,2,79,171,318,0,1
740,599,71,73,16,13,135,110,0,15,10,98,110,474,2,1
713,580,80,194,24,19,175,145,102,19,0,97,125,646,2,1
884,639,86,142,20,16,145,220,49,27,4,111,119,1020,7,1
1049,839,84,19,4,4,50,84,19,13,0,65,30,124,4,1
619,408,73,629,55,50,395,221,790,42,10,317,297,971,2,1
787,478,74,239,30,28,220,156,84,29,4,166,231,407,5,1
933,500,64,194,29,26,210,119,83,29,12,146,224,225,1,1
1009,667,68,444,43,41,300,145,699,26,5,193,278,1390,0,1
937,616,76,156,25,20,190,294,194,18,14,169,230,470,1,1
1006,639,83,183,20,15,175,89,54,23,4,141,172,458,3,1
568,336,81,126,19,14,135,137,111,22,4,109,206,106,1,1
676,429,64,213,42,34,270,136,120,27,2,164,267,607,1,1
870,517,74,105,33,33,250,139,344,30,3,151,228,507,2,1
702,463,73,126,39,29,275,198,141,26,0,199,254,599,2,1
923,583,71,160,29,28,230,131,123,28,5,160,204,488,5,1
1045,669,78,133,24,18,175,123,188,20,2,141,203,470,1,1
836,482,69,136,31,24,215,141,42,29,0,159,237,311,2,1
685,475,61,374,38,38,250,118,810,27,8,167,284,746,3,1
619,385,62,96,29,27,240,126,0,32,6,139,229,453,2,1
753,447,55,158,43,33,265,190,282,26,10,168,283,479,2,1
677,400,74,130,24,20,170,137,253,26,10,147,209,429,2,1
734,464,83,76,31,23,200,162,78,23,0,131,203,532,2,1
592,379,91,68,15,12,135,118,0,23,0,102,147,68,4,1
629,468,88,35,6,6,100,52,0,15,24,89,127,207,10,1
884,667,91,74,8,7,90,106,0,14,0,101,110,227,7,1
684,480,55,261,41,37,275,163,176,30,6,184,226,644,1,1
810,564,95,37,5,6,75,81,33,7,0,96,63,111,1,1
1010,635,88,82,10,7,95,124,62,21,3,110,102,258,3,1
1012,653,72,245,28,20,195,126,136,19,3,134,184,445,5,1
1015,604,82,116,19,16,155,105,31,24,2,124,175,99,5,1
833,509,81,141,23,18,175,161,107,26,7,144,180,385,6,1
966,588,78,257,31,23,205,113,203,22,5,146,210,311,3,1
937,635,76,67,19,14,145,91,28,18,2,108,162,203,1,1
516,330,58,202,32,26,190,135,270,26,14,140,227,349,2,1
1022,661,78,406,38,36,270,165,373,27,12,187,240,686,3,1
774,532,76,392,27,22,180,126,105,21,11,156,191,349,4,1
848,595,73,143,27,24,220,156,250,23,4,159,200,354,6,1
697,522,72,37,20,15,150,166,33,17,9,117,134,560,3,1
596,426,75,390,37,34,240,144,530,24,9,161,206,1092,5,1
874,580,79,266,36,31,230,177,179,30,5,158,210,733,21,1
757,476,72,269,43,31,230,164,115,25,12,147,216,926,10,1
679,470,76,229,32,25,225,135,164,23,8,163,182,487,8,1
646,451,75,364,43,43,265,175,388,27,9,195,202,1473,10,1
806,625,69,247,46,46,285,138,334,31,6,162,204,1056,10,1
756,568,90,42,9,7,75,76,0,15,3,76,51,159,4,1
909,588,96,35,4,4,50,49,0,13,18,72,48,55,1,1
1005,678,95,18,3,3,45,81,0,12,6,79,34,169,2,1
1046,761,91,22,5,5,55,76,43,13,10,81,37,134,6,1
1546,1200,92,31,2,2,40,53,16,10,2,56,30,117,2,1
788,511,89,44,3,2,45,95,0,14,5,74,14,178,1,1
772,623,87,68,15,11,125,63,25,17,3,86,66,259,7,1
726,586,93,7,4,2,25,58,0,9,0,48,25,331,3,1
1112,869,90,47,4,4,50,48,19,11,0,53,14,171,4,1
545,380,96,9,2,4,30,80,0,10,0,69,20,74,3,1
813,648,96,25,4,4,60,93,47,11,3,73,47,111,3,1
925,729,97,16,1,2,25,75,0,12,6,39,22,65,3,1
489,435,77,70,5,4,70,87,42,10,7,68,43,819,7,1
709,646,85,91,6,5,65,108,156,13,13,59,13,438,8,1
940,793,94,89,7,4,40,83,67,11,9,66,67,437,10,1
764,687,91,146,6,6,65,51,143,10,0,65,25,249,2,1
1148,1026,71,279,10,7,80,108,189,13,9,103,52,672,3,1
921,722,81,154,6,6,75,82,69,14,0,80,35,163,4,1
645,601,96,60,5,5,55,197,53,8,0,79,74,497,10,1
845,725,93,54,8,6,80,110,21,17,7,68,55,320,5,1
677,562,79,87,22,20,180,159,33,20,0,104,122,311,10,1
1079,967,91,139,5,3,65,231,0,10,4,73,49,900,3,1
857,721,76,117,10,9,100,83,205,19,7,82,66,245,8,1
903,697,70,203,25,20,210,157,71,23,7,128,133,765,3,1
1011,852,72,163,12,10,130,152,110,18,5,103,89,535,4,1
963,741,74,116,22,19,195,164,22,25,0,131,124,520,2,1
1240,1115,88,37,3,4,50,82,13,10,4,57,43,202,7,1
1085,958,77,149,11,11,105,100,93,17,6,100,56,203,8,1
840,703,78,24,11,10,100,116,0,20,3,93,66,310,5,1
852,707,87,18,4,3,40,49,0,5,2,60,24,82,0,1
1005,813,89,102,8,6,90,73,0,17,4,91,67,249,6,1
816,582,86,156,34,32,220,114,202,30,0,148,133,344,6,1
1000,768,82,128,17,13,120,84,120,18,7,98,68,190,6,1
1014,773,87,97,14,12,125,104,84,20,8,112,79,326,5,1
535,432,97,66,7,5,75,66,84,11,0,102,36,131,2,1
1108,853,94,5,6,4,65,127,36,14,2,58,29,108,5,1
1096,906,92,18,2,2,25,86,0,10,5,55,11,101,2,1
1139,819,93,38,3,2,40,81,0,10,4,63,21,79,3,1
739,543,91,51,8,5,80,73,0,13,0,78,39,54,4,1
1022,774,91,18,4,2,25,56,21,11,5,62,16,88,3,1
1046,714,97,9,3,3,40,88,0,13,5,62,15,124,2,1
843,563,93,11,6,3,50,70,0,14,3,69,17,214,3,1
817,593,95,22,4,4,35,78,84,13,6,51,12,74,3,1
827,677,89,51,4,4,45,57,47,15,0,66,31,109,8,1
894,770,82,171,5,3,40,52,0,11,4,71,21,493,6,1
568,352,94,58,16,15,110,80,0,16,3,97,68,317,3,1
700,423,95,0,2,3,45,88,0,12,3,66,52,86,1,1
596,402,94,32,2,3,40,62,0,12,5,66,24,168,4,1
1128,671,96,9,2,2,30,52,0,7,5,55,27,151,1,1
885,639,93,52,4,7,60,230,0,9,3,90,30,543,5,1
751,425,96,73,3,4,60,65,0,14,0,75,29,307,2,1
1076,643,96,76,6,5,70,79,53,15,0,86,31,279,2,1
1030,701,87,177,24,22,175,145,76,25,5,132,125,311,6,1
704,442,99,21,2,3,50,44,0,12,3,83,26,100,1,1
583,393,98,0,3,3,55,58,49,11,5,60,36,69,1,1
1103,831,96,4,5,4,55,73,0,12,3,57,35,136,2,1
1006,697,95,86,3,3,35,61,50,12,13,74,16,110,3,1
705,420,95,7,5,5,70,75,0,11,0,72,26,71,1,1
851,536,96,51,4,5,50,80,69,12,3,69,28,188,2,1
1146,741,94,122,12,9,100,66,73,14,4,113,50,184,3,1
878,645,73,208,33,29,245,145,207,26,17,134,158,376,2,1
896,609,82,196,26,20,205,145,294,25,8,163,153,279,3,1
1049,748,72,252,33,27,235,78,176,25,10,147,161,563,6,1
711,531,79,114,23,23,170,131,123,20,7,150,117,634,5,1
1044,638,84,197,30,26,180,103,202,19,0,144,180,441,5,1
751,461,94,33,6,5,70,66,0,14,0,79,47,213,2,1
968,642,93,10,4,6,70,74,0,13,2,79,41,279,0,1
914,621,71,208,30,24,190,112,252,20,7,138,183,504,3,1
688,450,97,47,2,3,40,53,43,12,0,67,27,349,0,1
889,654,76,117,23,21,210,107,53,22,2,152,158,518,2,1
457,320,75,218,31,22,165,259,324,14,5,131,272,526,5,1
641,467,65,339,43,30,240,84,211,20,5,192,207,719,2,1
626,381,81,32,22,14,160,108,49,21,6,136,146,896,1,1
767,563,70,196,33,28,245,166,136,25,7,156,167,823,1,1
556,362,92,196,25,20,165,136,0,19,12,132,156,378,3,1
874,566,77,200,28,23,220,125,31,21,4,139,161,470,2,1
1054,786,73,152,26,16,170,183,41,18,10,121,148,247,1,1
623,435,82,271,39,28,370,156,43,26,0,135,178,788,3,1
856,711,89,36,10,9,85,105,0,14,2,104,87,433,2,1
761,580,60,137,24,17,160,195,169,20,8,148,148,355,2,1
575,350,70,92,15,11,150,104,52,19,9,111,169,348,2,1
670,407,69,132,21,19,215,109,95,24,5,150,185,314,1,1
941,486,80,96,18,20,90,154,38,29,8,127,194,298,1,1
825,541,85,56,14,11,120,102,82,17,10,105,132,291,2,1
1051,698,74,287,30,25,200,141,104,26,7,141,174,505,2,1
842,567,86,29,15,12,150,119,0,19,8,105,128,107,1,1
726,435,79,54,24,18,180,148,43,27,7,123,183,235,3,1
783,500,80,117,27,19,175,124,154,24,12,123,153,243,3,1
881,558,79,289,35,32,195,136,290,26,11,145,151,614,1,1
785,437,85,139,23,19,165,117,0,22,3,109,153,153,1,1
729,529,70,321,32,29,205,145,141,20,3,149,157,838,3,1
836,489,79,52,17,17,130,77,0,22,3,97,156,168,2,1
917,579,74,267,41,38,255,138,210,31,11,146,201,612,6,1
550,313,82,79,14,12,145,100,0,24,4,141,122,182,2,1
533,337,90,33,13,11,135,87,185,18,0,112,151,207,3,1
795,470,76,166,30,24,185,80,114,23,7,131,158,491,2,1
577,366,75,147,20,15,160,99,0,24,11,100,135,260,2,1
794,521,96,14,5,4,70,84,0,11,3,78,78,126,1,1
611,371,77,196,30,29,195,108,182,27,13,135,153,492,1,1
804,571,74,235,50,36,225,198,154,20,6,191,249,722,4,1
823,514,84,64,11,10,130,96,0,18,0,113,102,243,1,1
510,345,90,37,19,12,155,111,53,19,7,117,124,98,2,1
942,684,86,42,7,5,75,77,26,13,2,75,54,96,2,1
845,666,92,22,3,4,65,80,0,13,6,79,46,225,3,1
903,523,84,37,9,6,85,111,0,22,13,83,57,89,2,1
972,687,90,64,7,5,65,62,0,14,3,69,64,113,1,1
567,451,76,120,24,20,155,166,34,22,20,98,80,654,10,1
782,467,83,139,16,16,155,161,87,27,8,132,113,282,1,1
670,402,74,47,26,16,165,148,0,21,4,137,168,329,3,1
726,572,81,46,17,11,120,129,80,18,0,136,83,303,1,1
742,539,83,19,12,9,100,104,0,18,12,78,92,216,6,1
797,630,82,92,16,10,120,145,0,15,10,85,82,163,3,1
726,575,93,438,7,4,65,161,0,11,0,92,41,55,2,1
1202,762,82,46,14,8,115,96,0,19,4,107,69,283,2,1
740,478,76,58,16,13,140,129,77,24,0,98,122,311,1,1
987,693,73,162,30,30,235,115,69,27,8,137,158,426,7,1
1008,610,81,181,21,17,160,120,119,23,0,120,152,437,4,1
596,360,83,88,20,16,165,80,0,24,0,114,118,723,0,1
628,401,63,117,37,26,250,186,42,23,9,154,230,303,3,1
793,481,83,185,22,16,170,79,196,23,0,112,143,76,1,1
1019,659,75,109,24,19,175,115,28,22,4,118,145,128,4,1
531,358,73,140,23,17,190,186,0,24,15,136,158,189,1,1
991,635,82,25,14,9,110,100,0,16,3,100,106,192,1,1
921,624,92,10,3,4,60,72,34,13,6,71,74,326,2,1
1008,604,87,40,11,9,115,97,0,16,0,101,129,129,1,1
808,525,66,220,34,22,235,563,195,22,12,151,214,359,3,1
1069,584,71,213,27,21,140,170,31,27,4,121,175,703,3,1
744,477,66,162,36,27,245,158,254,21,9,176,215,565,1,1
772,490,67,211,44,33,270,128,103,22,3,165,272,882,2,1
567,320,67,226,44,30,290,208,179,26,9,191,286,636,2,1
683,431,67,193,49,39,355,145,172,26,8,173,279,719,2,1
621,404,73,191,28,17,180,124,42,22,7,132,188,661,3,1
817,552,69,319,42,39,320,186,187,28,5,215,262,650,0,1
839,528,74,272,29,28,195,150,281,26,6,191,232,871,4,1
653,457,71,227,32,26,275,174,78,26,7,193,231,291,0,1
869,576,67,91,35,27,230,161,202,24,8,175,264,369,2,1
809,485,75,430,42,36,245,153,394,30,12,192,276,1461,5,1
1019,642,70,363,34,27,265,206,406,21,5,199,238,580,0,1
1031,679,75,166,25,20,225,172,55,24,2,173,187,466,1,1
810,564,83,92,20,15,150,121,0,22,3,133,195,284,0,1
671,446,70,274,34,26,235,156,126,24,3,170,222,373,2,1
542,315,87,77,5,5,40,128,0,12,0,74,57,NA,8,1
533,317,91,79,10,8,65,70,0,17,0,69,51,114,7,1
